,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
40,2022-01-02,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
28,2022-01-02,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
30,2022-01-02,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
31,2022-01-02,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
41,2022-01-02,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
33,2022-01-02,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
32,2022-01-02,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
35,2022-01-02,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
36,2022-01-02,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
37,2022-01-02,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
38,2022-01-02,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
39,2022-01-02,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
76,2022-01-03,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
73,2022-01-03,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
74,2022-01-03,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
75,2022-01-03,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
72,2022-01-03,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
77,2022-01-03,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
62,2022-01-03,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
79,2022-01-03,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
80,2022-01-03,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
81,2022-01-03,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
82,2022-01-03,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
83,2022-01-03,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
71,2022-01-03,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
78,2022-01-03,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
70,2022-01-03,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
57,2022-01-03,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
68,2022-01-03,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
69,2022-01-03,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
58,2022-01-03,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
59,2022-01-03,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
60,2022-01-03,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
61,2022-01-03,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
56,2022-01-03,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
63,2022-01-03,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
64,2022-01-03,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
65,2022-01-03,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
66,2022-01-03,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
67,2022-01-03,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
100,2022-01-04,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
101,2022-01-04,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
102,2022-01-04,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
103,2022-01-04,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
104,2022-01-04,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
106,2022-01-04,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
111,2022-01-04,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
107,2022-01-04,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
108,2022-01-04,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
109,2022-01-04,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
99,2022-01-04,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
110,2022-01-04,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
105,2022-01-04,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
98,2022-01-04,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
93,2022-01-04,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
96,2022-01-04,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
84,2022-01-04,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
85,2022-01-04,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
97,2022-01-04,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
87,2022-01-04,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
88,2022-01-04,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
86,2022-01-04,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
90,2022-01-04,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
91,2022-01-04,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
92,2022-01-04,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
94,2022-01-04,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
95,2022-01-04,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
89,2022-01-04,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
132,2022-01-05,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
128,2022-01-05,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
129,2022-01-05,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
130,2022-01-05,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
131,2022-01-05,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
133,2022-01-05,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
117,2022-01-05,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
135,2022-01-05,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
136,2022-01-05,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
137,2022-01-05,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
138,2022-01-05,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
139,2022-01-05,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
127,2022-01-05,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
134,2022-01-05,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
126,2022-01-05,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
113,2022-01-05,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
124,2022-01-05,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
114,2022-01-05,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
115,2022-01-05,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
116,2022-01-05,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
125,2022-01-05,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
118,2022-01-05,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
112,2022-01-05,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
120,2022-01-05,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
121,2022-01-05,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
122,2022-01-05,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
123,2022-01-05,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
119,2022-01-05,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
156,2022-01-06,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
157,2022-01-06,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
158,2022-01-06,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
159,2022-01-06,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
160,2022-01-06,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
161,2022-01-06,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
163,2022-01-06,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
164,2022-01-06,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
165,2022-01-06,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
166,2022-01-06,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
155,2022-01-06,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
167,2022-01-06,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
162,2022-01-06,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
154,2022-01-06,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
153,2022-01-06,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
152,2022-01-06,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
140,2022-01-06,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
141,2022-01-06,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
142,2022-01-06,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
144,2022-01-06,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
145,2022-01-06,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
143,2022-01-06,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
147,2022-01-06,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
148,2022-01-06,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
149,2022-01-06,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
150,2022-01-06,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
151,2022-01-06,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
146,2022-01-06,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
187,2022-01-07,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
184,2022-01-07,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
195,2022-01-07,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
185,2022-01-07,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
186,2022-01-07,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
188,2022-01-07,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
194,2022-01-07,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
190,2022-01-07,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
191,2022-01-07,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
192,2022-01-07,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
193,2022-01-07,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
183,2022-01-07,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
189,2022-01-07,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
182,2022-01-07,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
177,2022-01-07,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
180,2022-01-07,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
181,2022-01-07,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
168,2022-01-07,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
169,2022-01-07,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
170,2022-01-07,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
172,2022-01-07,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
171,2022-01-07,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
174,2022-01-07,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
175,2022-01-07,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
176,2022-01-07,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
178,2022-01-07,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
179,2022-01-07,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
173,2022-01-07,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
215,2022-01-08,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
212,2022-01-08,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
213,2022-01-08,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
214,2022-01-08,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
216,2022-01-08,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
222,2022-01-08,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
218,2022-01-08,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
219,2022-01-08,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
220,2022-01-08,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
221,2022-01-08,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
211,2022-01-08,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
223,2022-01-08,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
217,2022-01-08,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
210,2022-01-08,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
205,2022-01-08,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
